LessonID,lessonName,CourseID
0,Numbers 0 to 120: Place value,1
1,Ones and tens: Place value,1
2,Comparing 2-digit numbers,1
3,Relate addition and subtraction: Addition and subtraction,2
4,Addition within 20: Addition and subtraction,2
5,Subtraction within 20: Addition and subtraction,2
6,Equal sign: Addition and subtraction,2
7,Missing number within 20: Addition and subtraction,2
8,Word problems within 20: Addition and subtraction,2
9,"Word problems with ""more"" and ""fewer"": Addition and subtraction",2
10,Adding 1s and 10s: Addition and subtraction,2
11,Intro to addition with 2-digit numbers,2
12,"Length and size: Measurement, data, and geometry",3
13,"Bar graphs: Measurement, data, and geometry",3
14,"Time: Measurement, data, and geometry",3
15,"Shapes: Measurement, data, and geometry",3
16,Fractions of shapes,3
17,Add within 20: Add and subtract within 20,4
18,Add using arrays: Add and subtract within 20,4
19,Subtract within 20: Add and subtract within 20,4
20,Add and subtract within 20,4
21,Intro to place value: Place value,5
22,"Numbers in standard, word, and expanded form: Place value",5
23,Regroup whole numbers: Place value,5
24,Comparing 2 and 3 digit numbers: Place value,5
25,Even and odd numbers: Place value,5
26,"Counting patterns within 1,000",5
27,Visually adding within 100: Add and subtract within 100,6
28,Strategies for adding within 100: Add and subtract within 100,6
29,Visually subtract within 100: Add and subtract within 100,6
30,Addition and subtraction: missing values: Add and subtract within 100,6
31,Addition and subtraction within 100 word problems: Add and subtract within 100,6
32,Addition and subtraction within 100 word problems (multi-step),6
33,"Visually adding within 1,000: Add and subtract within 1,000",7
34,"Strategies for adding within 1,000: Add and subtract within 1,000",7
35,"Strategies for subtracting within 1,000: Add and subtract within 1,000",7
36,Adding up to four 2-digit numbers,7
37,Counting money: Money and time,8
38,Time: Money and time,8
39,Units of length: Measurement,9
40,Measure lengths: Measurement,9
41,Estimate lengths: Measurement,9
42,Length word problems,9
43,Picture graphs: Data,10
44,Bar graphs: Data,10
45,Line plots: Data,10
46,Shapes: Geometry,11
47,Equal parts of shapes: Geometry,11
48,Partition rectangles: Geometry,11
49,Multiplication as equal groups: Intro to multiplication,12
50,Multiplication on the number line: Intro to multiplication,12
51,Multiplication as groups of objects: Intro to multiplication,12
52,Multiplication with arrays: Intro to multiplication,12
53,Multiplication in contexts: Intro to multiplication,12
54,Commutative property of multiplication,12
55,Multiply by 0 or 1: 1-digit multiplication,13
56,Multiply by 2 or 4: 1-digit multiplication,13
57,Multiply by 5 or 10: 1-digit multiplication,13
58,Multiply by 3 or 6: 1-digit multiplication,13
59,Distributive property: 1-digit multiplication,13
60,"Multiply by 7, 8, or 9: 1-digit multiplication",13
61,1-digit multiplication,13
62,"Rounding to nearest 10 or 100: Addition, subtraction, and estimation",14
63,"Estimate to add multi-digit numbers: Addition, subtraction, and estimation",14
64,"Strategies for adding two and three-digit numbers: Addition, subtraction, and estimation",14
65,"Adding with regrouping within 1000: Addition, subtraction, and estimation",14
66,"Estimate to subtract multi-digit numbers: Addition, subtraction, and estimation",14
67,"Strategies for subtracting two and three-digit numbers: Addition, subtraction, and estimation",14
68,"Subtracting with regrouping within 1000: Addition, subtraction, and estimation",14
69,"Addition and subtraction missing value problems: Addition, subtraction, and estimation",14
70,Addition and subtraction word problems,14
71,Division intro: Intro to division,15
72,Division in contexts: Intro to division,15
73,Relating multiplication and division: Intro to division,15
74,"Divide by 1, 2, or 4: Intro to division",15
75,Divide by 5 or 10: Intro to division,15
76,Divide by 3 or 6: Intro to division,15
77,"Divide by 7, 8, or 9: Intro to division",15
78,1-digit division,15
79,Fractions intro: Understand fractions,16
80,Fractions in contexts: Understand fractions,16
81,What fractions mean: Understand fractions,16
82,Fractions on the number line: Understand fractions,16
83,Fractions and whole numbers,16
84,Comparing fractions: Equivalent fractions and comparing fractions,17
85,Comparing fractions of different wholes: Equivalent fractions and comparing fractions,17
86,Equivalent fractions: Equivalent fractions and comparing fractions,17
87,Letters and symbols in multiplication and division equations: More with multiplication and division,18
88,Multiplication and division word problems: More with multiplication and division,18
89,Associative property of multiplication: More with multiplication and division,18
90,Multiplying by tens,18
91,2-step expressions: Arithmetic patterns and problem solving,19
92,Estimation word problems: Arithmetic patterns and problem solving,19
93,One and two-step word problems: Arithmetic patterns and problem solving,19
94,Patterns in arithmetic,19
95,Quadrilaterals,20
96,Area introduction: Area,21
97,Count unit squares to find area: Area,21
98,Area formula intuition: Area,21
99,Multiply to find area: Area,21
100,Area and the distributive property: Area,21
101,Decompose figures to find area,21
102,Perimeter: Perimeter,22
103,Perimeter of polygons with missing side lengths: Perimeter,22
104,Perimeter word problems: Perimeter,22
105,Comparing area and perimeter,22
106,Time on number line: Time,23
107,Telling time: Time,23
108,Elapsed time,23
109,Mass: Measurement,24
110,Volume: Measurement,24
111,Picture graphs: Represent and interpret data,25
112,Bar graphs: Represent and interpret data,25
113,Line plots with fractions: Represent and interpret data,25
114,Intro to place value: Place value,26
115,Writing whole numbers in expanded form: Place value,26
116,Writing whole numbers in written form: Place value,26
117,Regrouping whole numbers: Place value,26
118,How 10 relates to place value: Place value,26
119,Comparing multi-digit numbers,26
120,"Rounding whole numbers: Addition, subtraction, and estimation",27
121,"Adding multi-digit numbers: Addition, subtraction, and estimation",27
122,Subtracting multi-digit numbers,27
123,Comparing with multiplication: Multiply by 1-digit numbers,28
124,"Multiplication by 10s, 100s, and 1000s: Multiply by 1-digit numbers",28
125,Multi-digit multiplication: place value and area models: Multiply by 1-digit numbers,28
126,Estimate products: Multiply by 1-digit numbers,28
127,Multiply with partial products,28
128,Multiply by 10s: Multiply by 2-digit numbers,29
129,Multiply 2-digit numbers with area models: Multiply by 2-digit numbers,29
130,Estimate products (2-digit numbers): Multiply by 2-digit numbers,29
131,Multiply 2-digit numbers with partial products,29
132,Remainders: Division,30
133,"Divide multiples of 10, 100, and 1,000 by 1-digit numbers: Division",30
134,Division with place value: Division,30
135,Division with area models: Division,30
136,Estimate quotients: Division,30
137,Multi-digit division with partial quotients: Division,30
138,"Multiplication, division word problems: Division",30
139,Multi-step word problems,30
140,"Factors and multiples: Factors, multiples and patterns",31
141,"Prime and composite numbers: Factors, multiples and patterns",31
142,Math patterns,31
143,Equivalent fractions: Equivalent fractions and comparing fractions,32
144,Common denominators: Equivalent fractions and comparing fractions,32
