VideoID,Videoname,VideoLink,LessonID
1,Add within 20,https://youtu.be/dDv4FTqKBmY,1
2,Add and subtract within 20,https://youtu.be/IRjLEJWVtLQ,2
3,Add using arrays,https://youtu.be/HjRcLJMHuVA,3
4,Subtract within 20,https://youtu.be/jhkYFCMUYwA,4
5,Intro to place value,https://youtu.be/v3gdX07Q6qE,5
6,"Numbers in standard, word, and expanded form",https://youtu.be/drZjIlmHdME,6
7,Regroup whole numbers,https://youtu.be/X3JqIZR1XcY,7
8,Comparing 2 and 3 digit numbers,https://youtu.be/9Jg5S7F2SMQ,8
9,Even and odd numbers,https://youtu.be/vZ9nrNpScu4,9
10,"Counting patterns within 1,000",https://youtu.be/UwWn84u6i8s,10
11,Visually adding within 100,https://youtu.be/K5rmfHlHy20,11
12,Strategies for adding within 100,https://youtu.be/UjfmOmPARyk,12
13,Visually subtract within 100,https://youtu.be/RzEFGpe0rv4,13
14,Addition and subtraction: missing values,https://youtu.be/1dZsuE0vxEI,14
15,Addition and subtraction within 100 word problems,https://youtu.be/wwO6DjL_wFw,15
16,"Visually adding within 1,000",https://youtu.be/WevZMyikGV4,16
17,"Strategies for adding within 1,000",https://youtu.be/d3109sV6izY,17
18,"Strategies for subtracting within 1,000",https://youtu.be/Hc9mcx739js,18
19,Adding up to four 2-digit numbers,https://youtu.be/7Y_wVnAHajg,19
20,Counting money,https://youtu.be/pJ8KwRztfF0,20
21,Time,https://youtu.be/Rc2v8JdebwQ,21
22,Units of length,https://youtu.be/o31t2ta-EtQ,22
23,Measure lengths,https://youtu.be/BBFOL4d2kek,23
24,Estimate lengths,https://youtu.be/0B91xPrwcPE,24
25,Picture graphs,https://youtu.be/HN6FNS7lRhw,25
26,Bar graphs,https://youtu.be/woUQ9LLaees,26
27,Line plots,https://youtu.be/HN6FNS7lRhw,27
28,Shapes,https://youtu.be/10dTx1Zy_4w,28
29,Equal parts of shapes,https://youtu.be/YwNX9uWszQY,29
30,Partition rectangles,https://youtu.be/8AdcPD50aTQ,30
31,Multiplication as equal groups,https://youtu.be/1tjJDdszcZg,31
32,Multiplication on the number line,https://youtu.be/PLDfl6daajo,32
33,Multiplication as groups of objects,https://youtu.be/RNxwasijbAo,33
34,Multiplication with arrays,https://youtu.be/cDpBtkU2cf8,34
35,Multiplication in contexts,https://youtu.be/vdJn_ncXpv8,35
36,Commutative property of multiplication,https://youtu.be/zwD1A9159F4,36
37,Multiply by 0 or 1,,37
38,Multiply by 2 or 4,,38
39,Multiply by 5 or 10,,39
40,Multiply by 3 or 6,,40
41,Distributive property,https://youtu.be/zRgnVbh6psI,41
42,"Multiply by 7, 8, or 9",,42
